ID,campus,SITE,lat_wgs84,lon_wgs84,sstAnnMean,sstAnnMax,nppAnnMean,OrbV95pct,OrbVmax,waveHs95pct,waveHsMax,year,_TYPE_,_FREQ_,Turbidity,springTurbidity,springSST,springwind,mpa_group,site_status,STATE
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,,,1496.3347826,20.986412811,175.6352,1.2529537678,3.6294131,2000,0,12,,,,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,,,1240.6282895,24.015996456,81.09695,1.3900994658,2.810449,2001,0,12,,,,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,,,1421.4305085,22.037935734,152.10548,1.3432583511,2.8923695,2002,0,12,,,,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,,,1635.0562249,22.227823162,75.3179,1.3152104795,2.5673451,2003,0,12,,,,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,18.530396,23.5978,1894.2749141,20.063636398,88.18294,1.2704329491,2.547598,2004,0,12,,,,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.199308,20.71,2214.2151515,26.525193787,283.21298,1.432558918,4.234202,2005,0,12,,,15.324151333,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.34357,23.7472,1420.4131148,24.68099184,108.168915,1.3568718791,2.593327,2006,0,12,,,13.65444,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.804697,22.4894,1338.7826087,21.505347347,435.07913,1.3641757548,4.8917637,2007,0,12,,,14.913155667,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.64126,21.7457,1622.0254237,20.291080189,411.66098,1.3501781106,4.758293,2008,0,12,,,15.615683333,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,17.317572,21.9125,1231.88,18.51155529,54.06123,1.2209629536,2.438593,2009,0,12,,,16.208261333,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,15.592883,20.313812,1822.5909091,30.00554409,162.05359,1.5851677954,3.2455328,2010,0,12,,,15.648903,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,15.932882,22.042841,1324.92,17.921269703,48.370277,1.2224188268,2.4955764,2011,0,12,,,16.065574333,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.90103,22.671778,764.5862069,22.90504694,110.28695,1.3681104243,2.4628808,2012,0,12,,,15.561107333,,Abalone Cove SMCA,reference,CALIFORNIA
KF410,VRG,3_PALMS_EAST,33.71762,-118.33215,16.65815,25.479572,,17.719566631,65.935974,1.1841784418,2.4851902,2013,0,12,,,16.867067667,,Abalone Cove SMCA,reference,CALIFORNIA
